id,version,status,title,agent_role,category,sector,prompt_family,lifecycle_phase,icon,color_token,operator_tab,route_path,quality_total,has_golden_fixture,command_template_count,hash
DEV-002,3.0.0,active,SBOM and SCA Agent,SBOM/SCA Agent,DevSecOps,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-cyan,devsecops,/prompts/all-industries/sbom-sca/dev-002,40,True,6,a6ac77ce7fe0daba594eeb68511eff14cc305f6b7ae1fbae7e38f2197743f7f2
DEV-003,3.0.0,active,Secrets Detection Agent,AI/ML Security Agent,DevSecOps,All Industries,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-cyan,devsecops,/prompts/all-industries/ai-ml-security/dev-003,40,True,2,ec22bcdb0b1af5a261ce4c552d66e8e36b7a22194519c73c65838dd51c76b033
DEV-004,3.0.0,active,Container Security Agent,SBOM/SCA Agent,DevSecOps,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-cyan,devsecops,/prompts/all-industries/sbom-sca/dev-004,40,True,6,857135590daac12f4cd9321557ca4d020d22ccbe8fe26d8ef152e475de8bee88
DEV-005,3.0.0,active,Kubernetes Security Agent,Cloud/IaC Agent,DevSecOps,All Industries,Kubernetes Security,Cross-Lifecycle,boxes,accent-cyan,devsecops,/prompts/all-industries/kubernetes-security/dev-005,40,False,4,74671856be68f6d16425e1fc4e1d7105ddfccd41c234e65a74baeb3cad8ca1c4
DEV-006,3.0.0,active,IaC Security Agent,Cloud/IaC Agent,DevSecOps,All Industries,IaC Security,Cross-Lifecycle,file-cog,accent-cyan,devsecops,/prompts/all-industries/iac-security/dev-006,40,False,4,b8b4d96309e30379eb12adea5b27acb4fa01871ac3a4b6323e8326c6f1d2ac60
CODE-001,3.0.0,active,Principal Software Architect,SBOM/SCA Agent,Coding,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,coding,/prompts/all-industries/sbom-sca/code-001,40,True,6,3631c7603e2b3aa051facaf97059a07fcb748ea775bc00e679b21a9d072e7548
CODE-002,3.0.0,active,Full-Stack Builder Agent,SBOM/SCA Agent,Coding,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,coding,/prompts/all-industries/sbom-sca/code-002,40,True,6,266c829b2ae6ba261658b18864d57ed0e03a4a2c4b38bb69df557356cbe348c6
CODE-003,3.0.0,active,Debugging War Room Agent,SBOM/SCA Agent,Coding,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,coding,/prompts/all-industries/sbom-sca/code-003,40,True,6,b63006de62ab24a0375c7848a54bfd1502eb212743d9948951ca05bd1addd90c
CODE-004,3.0.0,active,Refactoring Agent,QA Agent,Coding,All Industries,QA / Test Automation,Test / Validate,check-check,accent-neutral,coding,/prompts/all-industries/qa-test-automation/code-004,40,True,5,3a0775bb0a346c9d64a80ee006f526e4dd4ee0f82f0e1cd088b3aa30e99518dd
CODE-005,3.0.0,active,Test Automation Engineer,AI/ML Security Agent,Coding,All Industries,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-neutral,coding,/prompts/all-industries/ai-ml-security/code-005,40,True,2,630462d1b3ffa0f98df4f6c07932c4a511d57a8c57076ee324ecb25b42ede3b3
OPS-001,3.0.0,active,SRE Reliability Agent,SBOM/SCA Agent,Operations,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-blue,operations,/prompts/all-industries/sbom-sca/ops-001,40,False,6,b7957525073813737ec8b3f9f127e8d878d0ddf9e1125a1105b0528e81c95664
OPS-002,3.0.0,active,Observability Engineer,Compliance Evidence Agent,Operations,All Industries,Compliance Mapping,Plan / Design,landmark,accent-blue,operations,/prompts/all-industries/compliance-mapping/ops-002,40,False,3,8020a061319e908c37e1ca2e22cbb838b487e7096fcd96a6d66d6a48e61f628d
IR-001,3.0.0,active,Application Incident Commander,AI/ML Security Agent,Incident Response,All Industries,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-neutral,incident-response,/prompts/all-industries/ai-ml-security/ir-001,40,False,2,29ac96ab17a568736e0ed8c74d45c2fd075780f2a5e635fbba1050c58cbf1bdd
GOV-001,3.0.0,active,FISMA Control Evidence Agent,DevSecOps Architect Agent,Audit,Federal Civilian,CI/CD,Release,git-branch,accent-neutral,audit,/prompts/federal-civilian/ci-cd/gov-001,40,False,4,7f55d2b2465f6d102c7cda16dd1ad91a612677b03e0b4abeb6d7c3e7784ac3ad
GOV-002,3.0.0,active,FedRAMP SaaS Readiness Agent,SBOM/SCA Agent,DevSecOps,Federal Civilian,SBOM / SCA,Cross-Lifecycle,package-search,accent-cyan,devsecops,/prompts/federal-civilian/sbom-sca/gov-002,40,False,6,782637114d7beb9701e765dfb8d7cef78d87f03226632d3d5b074dcaa81f7bf9
DOD-001,3.0.0,active,DoD Software Factory Agent,SAST Agent,DevSecOps,DoD / National Security,SAST,Test / Validate,shield-code,accent-cyan,devsecops,/prompts/dod-national-security/sast/dod-001,40,False,5,16baf13f826130581699d29bdaf277c4d96f8f17e7c4a712d37a03f8ce7b675e
DOD-002,3.0.0,active,RMF Package Agent,SBOM/SCA Agent,Audit,DoD / National Security,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,audit,/prompts/dod-national-security/sbom-sca/dod-002,40,False,6,723385abb1c5d1d21001b4d407f849328d35dbbc262bcf81d49acebbf86f2a41
DOD-003,3.0.0,active,Mission Software Secure Code Agent,SAST Agent,SAST,DoD / National Security,SAST,Test / Validate,shield-code,accent-neutral,sast,/prompts/dod-national-security/sast/dod-003,40,False,5,8a50c13f87123c3dafe501a675123dd9b313796181e1bdf48e72442a26f127cf
SLG-001,3.0.0,active,CJIS / Public Sector Audit Agent,Compliance Evidence Agent,Audit,State & Local Government,Compliance Mapping,Plan / Design,landmark,accent-neutral,audit,/prompts/state-local-government/compliance-mapping/slg-001,40,False,3,a9a9487cf4e7ec09714dde4a0464f1131ed3b513f72299faefc4078ad09caca5
HC-001,3.0.0,active,HIPAA Security Rule Evidence Agent,Cloud/IaC Agent,Audit,Healthcare,IaC Security,Cross-Lifecycle,file-cog,accent-neutral,audit,/prompts/healthcare/iac-security/hc-001,40,False,4,6f1e3223af28a3baaf42730ff4313788966e346f6693707fa0ab0d7f26f5581d
HC-002,3.0.0,active,Patient Portal Security Tester,DAST Agent,DAST,Healthcare,DAST,Test / Validate,radar,accent-neutral,dast,/prompts/healthcare/dast/hc-002,40,False,4,aea5974f2050749c427650e38475cc7920b811eea53d252c14d2245cd42fae74
FIN-001,3.0.0,active,FinTech Secure Code Agent,SAST Agent,SAST,Financial Services,SAST,Test / Validate,shield-code,accent-neutral,sast,/prompts/financial-services/sast/fin-001,40,False,5,aadfc92d5368498088081dcbfa42e783a1e6f0a26b740a910892f19372102671
FIN-002,3.0.0,active,Financial Reconciliation QA Agent,DevSecOps Architect Agent,QA,Financial Services,CI/CD,Release,git-branch,accent-green,qa,/prompts/financial-services/ci-cd/fin-002,40,False,4,93bfd541bd5e614bd404d8d0f9797b3bb25012544e5bb5dc400775521949a846
EN-001,3.0.0,active,Critical Infrastructure Reliability Agent,SBOM/SCA Agent,Operations,Energy / Utilities,SBOM / SCA,Cross-Lifecycle,package-search,accent-blue,operations,/prompts/energy-utilities/sbom-sca/en-001,40,False,6,14204a900e067f23f2c4a0f6040a76e142e10ae4ddb0fa1273f77317ae96b8e8
EN-002,3.0.0,active,Utility Portal Abuse-Case Tester,DAST Agent,DAST,Energy / Utilities,DAST,Test / Validate,radar,accent-neutral,dast,/prompts/energy-utilities/dast/en-002,40,False,4,35c6c24a3416c91e6187c3ac6fc4209de3f404af490da109740ccd812968b60a
MFG-001,3.0.0,active,OT DevSecOps Safety Agent,SBOM/SCA Agent,DevSecOps,Manufacturing / OT,SBOM / SCA,Cross-Lifecycle,package-search,accent-cyan,devsecops,/prompts/manufacturing-ot/sbom-sca/mfg-001,40,False,6,c224429314aa00bbbec3adda13889e09743024bd0e2ea5ace2f84a553371720e
MFG-002,3.0.0,active,Industrial Supply Chain Risk Agent,SBOM/SCA Agent,Audit,Manufacturing / OT,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,audit,/prompts/manufacturing-ot/sbom-sca/mfg-002,40,False,6,293233a62b601b5454348e92aea2d534b94c4890da5c7fd120ba72556fd72037
RET-001,3.0.0,active,E-commerce Abuse Tester,DAST Agent,DAST,Retail / E-commerce,DAST,Test / Validate,radar,accent-neutral,dast,/prompts/retail-e-commerce/dast/ret-001,40,False,4,99e49b07aa7383ae3b20e139c858d43a6a70225b931b48b249a40defa6a501ef
RET-002,3.0.0,active,Checkout QA Agent,DevSecOps Architect Agent,QA,Retail / E-commerce,CI/CD,Release,git-branch,accent-green,qa,/prompts/retail-e-commerce/ci-cd/ret-002,40,False,4,ed16e80294bbe39c01a2fd138d116a4993c6b5b4d9fa6e1cad4a1f14d480f96b
EDU-001,3.0.0,active,Student Data Privacy Agent,Documentation Agent,Audit,Education,Documentation,Cross-Lifecycle,sparkles,accent-neutral,audit,/prompts/education/documentation/edu-001,40,False,2,b80e7be64387f9aa8fc69073bf7fd78cb6e38f782bf774cc045275dd2b4d55c9
TRN-001,3.0.0,active,Logistics Workflow QA Agent,DevSecOps Architect Agent,QA,Transportation / Logistics,CI/CD,Release,git-branch,accent-green,qa,/prompts/transportation-logistics/ci-cd/trn-001,40,False,4,6ce19c3a70d8853226fd675cc0d54b38b0b19a15abbdcc11b10a839007d51deb
TEL-001,3.0.0,active,Telecom Service Assurance Agent,Incident Response Agent,Operations,Telecom,Incident Response,Operate / Improve,siren,accent-blue,operations,/prompts/telecom/incident-response/tel-001,40,False,2,61f0bc340e37488d0967e4ce0210e36dc816222c4d00676787fdcb8ca30eca01
SAAS-001,3.0.0,active,Multi-Tenant SaaS Isolation Agent,AI/ML Security Agent,DevSecOps,SaaS / Cloud,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-cyan,devsecops,/prompts/saas-cloud/ai-ml-security/saas-001,40,False,2,651634eb5e1e01d17e607aa77cceaf2a6813284a1138a804f9122dd480e62e60
SAAS-002,3.0.0,active,Cloud App Secure Code Agent,SAST Agent,SAST,SaaS / Cloud,SAST,Test / Validate,shield-code,accent-neutral,sast,/prompts/saas-cloud/sast/saas-002,40,False,5,ac1bfb83a4f0f8335f07c1b72fe317209966de2d3cc3af00f6977126983553f8
AI-001,3.0.0,active,AI Model Risk QA Agent,SBOM/SCA Agent,AI / ML Systems,AI / ML Systems,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,ai-ml-systems,/prompts/ai-ml-systems/sbom-sca/ai-001,40,False,6,80d0418c96d7bb364c5c584e15587177c2e03fbbda06341f1fc48cbc1720ebd3
AI-002,3.0.0,active,AI App Code Security Agent,SAST Agent,SAST,AI / ML Systems,SAST,Test / Validate,shield-code,accent-neutral,sast,/prompts/ai-ml-systems/sast/ai-002,40,False,5,71df842b5cafd043547ff922bff719799058aae9982f1a80b00c11eafa6ca783
AI-003,3.0.0,active,AI Governance Audit Agent,AI/ML Security Agent,Audit,AI / ML Systems,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-neutral,audit,/prompts/ai-ml-systems/ai-ml-security/ai-003,40,False,2,80a10fcf4ab5bbf74526c07bf3dc7553861344caf04cbcfcc6eec28c518e23d1
AERO-001,3.0.0,active,Aerospace Mission QA Agent,DevSecOps Architect Agent,QA,Aerospace / Space,CI/CD,Release,git-branch,accent-green,qa,/prompts/aerospace-space/ci-cd/aero-001,40,False,4,5b3a991b334a96a86d283204a67a856d2be144fe1a7c3ca488a5bbd70ecef90e
LEG-001,3.0.0,active,LegalTech Data Security Auditor,AI/ML Security Agent,Audit,Legal / Compliance,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-neutral,audit,/prompts/legal-compliance/ai-ml-security/leg-001,40,False,2,fd13967cb731fb023949f1f39c18fc3f6835ab08eb306a3709542d9d1891197c
MOB-QA-001,3.0.0,active,Mobile App Security QA,SBOM/SCA Agent,QA,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-green,qa,/prompts/all-industries/sbom-sca/mob-qa-001,40,False,6,401d5b14ced1be02b49d92040b5957a64c6a3057b290a21de053ae1eb52dd0ce
THREAT-002,3.0.0,active,Threat Modeling Agent,SBOM/SCA Agent,Security Architecture,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,security-architecture,/prompts/all-industries/sbom-sca/threat-002,40,False,6,fcad70b54c5dc9d056c4a6de376da05c83885e03b35697ba1982329f827b387f
PRIV-003,3.0.0,active,Privacy Engineering Agent,SBOM/SCA Agent,Privacy,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,privacy,/prompts/all-industries/sbom-sca/priv-003,40,False,6,f72e8bf12367cfbb160e93eb3149e9bd04879a71dda903e9772c12efe52ff950
REL-004,3.0.0,active,Release Readiness Gatekeeper,SBOM/SCA Agent,DevSecOps,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-cyan,devsecops,/prompts/all-industries/sbom-sca/rel-004,40,False,6,6d867e9a2c0874b294b0df2777f13a74c64a8641b1e0c175bf353f2639491b29
VULN-005,3.0.0,active,Vulnerability Triage Agent,SBOM/SCA Agent,Vulnerability Management,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,vulnerability-management,/prompts/all-industries/sbom-sca/vuln-005,40,False,6,28c6fe8d7cbbc605c4b1c21e99106f45a53c567ba3a2b9c195cea17fd2194f60
PATCH-006,3.0.0,active,Patch Management Agent,SBOM/SCA Agent,Vulnerability Management,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,vulnerability-management,/prompts/all-industries/sbom-sca/patch-006,40,False,6,293ebf57f1eb64c609663adf82fbc7221790628ad094ef36f615fae9c741a71f
PENTEST-007,3.0.0,active,Pen Test Report Translator,DAST Agent,DAST,All Industries,DAST,Test / Validate,radar,accent-neutral,dast,/prompts/all-industries/dast/pentest-007,40,False,4,849ffd52e0d1c75c93efd2ded9af6a628102068be265ec6c029dea525a589bec
ARCHSEC-008,3.0.0,active,Secure Architecture Reviewer,SBOM/SCA Agent,Security Architecture,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,security-architecture,/prompts/all-industries/sbom-sca/archsec-008,40,True,6,184047d94a351b9b783db5178a15c103ecb87b194e582f3defbed02cf6521d16
IAM-009,3.0.0,active,Cloud IAM Auditor,SBOM/SCA Agent,Cloud Security,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,cloud-security,/prompts/all-industries/sbom-sca/iam-009,40,False,6,221ba4f7bcdf91dc59f869d39179d826f91fe00a54ca9a8b5d3ab0590ac2be2d
DBSEC-010,3.0.0,active,Database Security Agent,SBOM/SCA Agent,Data Security,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,data-security,/prompts/all-industries/sbom-sca/dbsec-010,40,True,6,c4048de2a3aaa5ece3ab7fd024a25c9c7723bf156e20ceac33040d0ad96f6748
LOG-011,3.0.0,active,Logging Compliance Agent,SBOM/SCA Agent,Audit,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,audit,/prompts/all-industries/sbom-sca/log-011,40,False,6,4b4392d9d047232d6d00af1fa5c27f83cee96d5bc3fc78a7ae87c579a9439708
CHG-012,3.0.0,active,Change Management Auditor,SBOM/SCA Agent,Audit,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,audit,/prompts/all-industries/sbom-sca/chg-012,40,True,6,86cb722ec7149ce4048a7087560d37f8c609016459fa42bed7ed58bf187f44ff
DRIFT-013,3.0.0,active,Configuration Drift Agent,SBOM/SCA Agent,Operations,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-blue,operations,/prompts/all-industries/sbom-sca/drift-013,40,True,6,91a558ba1b1aeca8af8c7023320cb3197b674e0b7e90a4dacfe3e200d93fe5c4
PROV-014,3.0.0,active,Supply Chain Provenance Agent,SBOM/SCA Agent,Supply Chain,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,supply-chain,/prompts/all-industries/sbom-sca/prov-014,40,False,6,820a8d219d9d9e6b66a15f0bdcd142f9bfe5fe18bf577ac3d2a2652ee426ec2c
OSSLIC-015,3.0.0,active,Open Source License Agent,SBOM/SCA Agent,Legal / Compliance,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,legal-compliance,/prompts/all-industries/sbom-sca/osslic-015,40,False,6,a2627ec4e904c1bdc8b1611e6bca0fc90b4a43221a078a5b69c059763d63fb53
AIRT-016,3.0.0,active,Red Team Prompt Agent,SBOM/SCA Agent,AI / ML Systems,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,ai-ml-systems,/prompts/all-industries/sbom-sca/airt-016,40,True,6,0b85e7741f51b5a6905c7132d89260395d48c0794e8c73635e8a7000757a6fe9
BLUE-017,3.0.0,active,Blue Team Detection Engineer,SBOM/SCA Agent,Detection Engineering,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,detection-engineering,/prompts/all-industries/sbom-sca/blue-017,40,True,6,5f8571feb3e59594d92b4d5d1d1078d1331bdc344f7b7b6659965f24c0b21748
PURPLE-018,3.0.0,active,Purple Team Coordinator,SBOM/SCA Agent,Detection Engineering,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,detection-engineering,/prompts/all-industries/sbom-sca/purple-018,40,False,6,a24966d1501aa8994fb142178944f3856dbe637d260465f7c94e93735f804832
BIZ-019,3.0.0,active,Business Logic Abuse Agent,DAST Agent,DAST,All Industries,DAST,Test / Validate,radar,accent-neutral,dast,/prompts/all-industries/dast/biz-019,40,True,4,f09ce5d7e4e5466b7efe41f9c6f177ac62995783936ca80477528c347893e9d7
UXSEC-020,3.0.0,active,Secure UX Review Agent,SBOM/SCA Agent,UX Security,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,ux-security,/prompts/all-industries/sbom-sca/uxsec-020,40,False,6,b1bffb218b4050f18b5ad5a9e186867fca10c9caedefb040411de6145d66550a
BREAK-021,3.0.0,active,Build Breaker Agent,SBOM/SCA Agent,DevSecOps,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-cyan,devsecops,/prompts/all-industries/sbom-sca/break-021,40,True,6,b2ef5944f3fba2e1cd4366533275e699cb9779b8a47424e52eb316fde466adb8
EXCEPT-022,3.0.0,active,Exception Risk Board Agent,SBOM/SCA Agent,Governance,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,governance,/prompts/all-industries/sbom-sca/except-022,40,True,6,37417a5e95ff43f69a67cc5ee4acb9340c49f98e504209bcae50cfaf314d405c
DRQA-023,3.0.0,active,Disaster Recovery QA Agent,SAST Agent,Operations,All Industries,SAST,Test / Validate,shield-code,accent-blue,operations,/prompts/all-industries/sast/drqa-023,40,True,5,7ef246caf7a06a6c780f94d3dac551714e0a35cb927bc79d628cb8f107e22db5
CHAOS-024,3.0.0,active,Chaos Test Planner,SBOM/SCA Agent,Operations,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-blue,operations,/prompts/all-industries/sbom-sca/chaos-024,40,True,6,4665f27ace4775c83143a9e2979527e223a7b9904bd3e36f3406851f6408e405
MIG-025,3.0.0,active,Secure Data Migration Agent,SBOM/SCA Agent,Data Security,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,data-security,/prompts/all-industries/sbom-sca/mig-025,40,False,6,95e3421f9d31c98066cf9b0565726431c49c6f545400b2a75ce23c10c0e059db
RATE-026,3.0.0,active,API Rate Limit Abuse Agent,DAST Agent,DAST,All Industries,DAST,Test / Validate,radar,accent-neutral,dast,/prompts/all-industries/dast/rate-026,40,False,4,d6b14eebb9cc6b37dce959cbab92f90d2780d1ef692baf601b326e9fe4aceffe
AUTHZ-027,3.0.0,active,Authorization Matrix Agent,SBOM/SCA Agent,Security Architecture,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,security-architecture,/prompts/all-industries/sbom-sca/authz-027,40,True,6,d7dcba22b13abdf822917e59f9d32df4acffca6aacd322fcb6eb6c563155e122
SDLC-028,3.0.0,active,Secure SDLC Coach,SBOM/SCA Agent,DevSecOps,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-cyan,devsecops,/prompts/all-industries/sbom-sca/sdlc-028,40,False,6,19e41c3a15f78b129715b6f037515f912a5e79906324cf782b8469e5e5c1e330
XWALK-029,3.0.0,active,Compliance Crosswalk Agent,SBOM/SCA Agent,Audit,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,audit,/prompts/all-industries/sbom-sca/xwalk-029,40,False,6,f974dd0866cde85d5a28eccfe51adb2fc872c43ebf928d097f0115e9b48aefc1
EXECRISK-030,3.0.0,active,Executive Cyber Risk Narrator,SBOM/SCA Agent,Governance,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,governance,/prompts/all-industries/sbom-sca/execrisk-030,40,True,6,d83bfcaf54c44eb3836752a8560a772282fefa56a0264ea2de42802079afb7cf
IND-001,3.0.0,active,Medical Device Software QA Agent,AI/ML Security Agent,Industry Specialized,Healthcare,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-neutral,industry-specialized,/prompts/healthcare/ai-ml-security/ind-001,40,False,2,01696fc505f9f309852ec58a198d9d2f1e90db4320f0cde8c0983eaa16abfcbb
IND-002,3.0.0,active,Fraud Detection QA Agent,SBOM/SCA Agent,Industry Specialized,Financial Services,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,industry-specialized,/prompts/financial-services/sbom-sca/ind-002,40,False,6,84dd6bd6a9aa67862b0f9e9edef4f62a0c3f802083fcf1d8b8f64f260ad644b3
IND-003,3.0.0,active,OT Network Segmentation Auditor,AI/ML Security Agent,Industry Specialized,Energy / Utilities,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-neutral,industry-specialized,/prompts/energy-utilities/ai-ml-security/ind-003,40,False,2,2f24d23a8175f693956bfb42fde5b6e388a699eb47f191518c25d6c97cb0193d
IND-004,3.0.0,active,Firmware Update Security Agent,AI/ML Security Agent,Industry Specialized,Manufacturing / OT,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-neutral,industry-specialized,/prompts/manufacturing-ot/ai-ml-security/ind-004,40,False,2,6e7172b27d5884f78a480fcd34ccd281ccaad366890f697c64ae2657c0864752
